epoch,loss,ap,lr_backbone,lr_head
1,24.164618716520422,0.0921457901307051,0.001,0.001
2,7.722382952185238,0.09220051836428372,0.001,0.001
3,5.917222822413725,0.09238635834307024,0.001,0.001
4,4.963793067371144,0.09294956848597948,0.001,0.001
5,4.4116164025138405,0.09300864689549874,0.001,0.001
6,3.9179795068853043,0.09321000593460926,0.001,0.001
7,2.626662899466122,0.0932861596790061,0.0005,0.0005
8,2.622335910797119,0.09337273177917339,0.0005,0.0005
9,2.5735037467058968,0.09422918105426058,0.0005,0.0005
10,2.559988589847789,0.15555660402117558,0.0005,0.0005
11,2.4961993483936085,0.20081123864005293,0.0005,0.0005
12,2.509006177677828,0.21277448445272668,0.00025,0.00025
13,2.4663408083074234,0.21402433567558532,0.00025,0.00025
14,2.4636781846775726,0.21260791884127198,0.00025,0.00025
15,2.4568869716980877,0.21431355992398496,0.00025,0.00025
16,2.42173067261191,0.28184127236590756,1e-06,0.0001
17,2.3597124534494736,0.35612574794428115,1e-06,0.0001
18,2.280532808864818,0.3525057727714962,1e-06,0.0001
19,2.240434394163244,0.35181672106660955,1e-06,0.0001
20,2.176344128216014,0.36633558848459624,1e-06,0.0001
21,2.1359590467284706,0.4268745582722074,1e-06,0.0001
22,2.1180113133262184,0.4237515821327122,1e-06,0.0001
23,2.09869820580763,0.43381308736873747,1e-06,0.0001
24,2.053115560727961,0.4324933819380211,1e-06,0.0001
25,2.029907086316277,0.4259492855269778,1e-06,0.0001
26,2.015464046422173,0.42331168084915094,1e-06,0.0001
27,1.9985150905216442,0.4393740740890577,1e-06,0.0001
28,1.9713086520924288,0.44915595987728474,1e-06,0.0001
29,1.9914458814789266,0.4346197268732576,1e-06,0.0001
30,1.9582815906580757,0.44824078911142173,1e-06,0.0001
31,1.927373419789707,0.44293303637333564,1e-06,0.0001
32,1.926291493808522,0.4469189101870883,1e-06,0.0001
33,1.9054467011900509,0.43422567014750496,5e-07,5e-05
34,1.9234034980044645,0.44506293669485814,5e-07,5e-05
35,1.8982984844376058,0.44150083624189396,5e-07,5e-05
36,1.9104596341357512,0.4483120116342442,5e-07,5e-05
37,1.8940872620133793,0.44884841779447177,2.5e-07,2.5e-05
38,1.9056163395152372,0.44337288922709495,2.5e-07,2.5e-05
39,1.8859020892311544,0.44953747570152663,2.5e-07,2.5e-05
40,1.8820299190633438,0.4475250908265389,2.5e-07,2.5e-05
41,1.883653742425582,0.4446894991393771,2.5e-07,2.5e-05
42,1.8734606294070972,0.4433515327032089,2.5e-07,2.5e-05
43,1.847763380583595,0.4527762120849793,2.5e-07,2.5e-05
44,1.8724786148351782,0.45171840840163763,2.5e-07,2.5e-05
45,1.854982176247765,0.4517463831991566,2.5e-07,2.5e-05
