epoch,loss,ap,lr_backbone,lr_head
1,24.164618716520422,0.0921457901307051,0.001,0.001
2,7.722382952185238,0.09220051836428372,0.001,0.001
3,5.917222822413725,0.09238635834307024,0.001,0.001
4,4.963793067371144,0.09294956848597948,0.001,0.001
5,4.4116164025138405,0.09300864689549874,0.001,0.001
6,3.9179795068853043,0.09321000593460926,0.001,0.001
7,2.626662899466122,0.0932861596790061,0.0005,0.0005
8,2.622335910797119,0.09337273177917339,0.0005,0.0005
9,2.5735037467058968,0.09422918105426058,0.0005,0.0005
10,2.559988589847789,0.15555660402117558,0.0005,0.0005
11,2.4961993483936085,0.20081123864005293,0.0005,0.0005
12,2.509006177677828,0.21277448445272668,0.00025,0.00025
13,2.4663408083074234,0.21402433567558532,0.00025,0.00025
14,2.4636781846775726,0.21260791884127198,0.00025,0.00025
15,2.4568869716980877,0.21431355992398496,0.00025,0.00025
16,2.3960304680992577,0.2871178955816674,1e-06,0.0001
17,2.33723387297462,0.34257305239598196,1e-06,0.0001
18,2.28366820601856,0.3549282109919544,1e-06,0.0001
19,2.2522996558862576,0.3548040432837261,1e-06,0.0001
20,2.1985832312527824,0.3665400100763725,1e-06,0.0001
21,2.145521458457498,0.43007820631060506,1e-06,0.0001
22,2.1295099573976852,0.4138936270136735,1e-06,0.0001
23,2.100039804683012,0.42774541043964864,1e-06,0.0001
24,2.0732783850501564,0.4222481385038738,1e-06,0.0001
25,2.0289532577290252,0.4282963175392624,1e-06,0.0001
26,2.036374674123876,0.44897923992867655,5e-07,5e-05
27,2.027080707690295,0.43336565028566215,5e-07,5e-05
28,2.0156986082301422,0.42985835521964516,5e-07,5e-05
29,2.020915620467242,0.43139979061610395,5e-07,5e-05
30,1.9996143754790812,0.425592146070147,5e-07,5e-05
31,1.9922627771601957,0.4466477761602853,2.5e-07,2.5e-05
32,1.9813469543176538,0.44391615703732584,2.5e-07,2.5e-05
33,1.9692965325187235,0.4318517481887226,2.5e-07,2.5e-05
34,1.983140577288235,0.4366896254189237,2.5e-07,2.5e-05
35,1.9590656932662516,0.43610468109133704,1.25e-07,1.25e-05
36,1.9821243952302372,0.44583067771497936,1.25e-07,1.25e-05
37,1.9698655430008383,0.43414382751836683,1.25e-07,1.25e-05
38,1.950606058625614,0.4302426148827735,1.25e-07,1.25e-05
39,1.964451551437378,0.45068147241952033,6.25e-08,6.25e-06
40,1.9419340876971973,0.43411992287133233,6.25e-08,6.25e-06
41,1.972704035394332,0.44660067282974636,6.25e-08,6.25e-06
42,1.9632343439494861,0.4324020370744328,6.25e-08,6.25e-06
43,1.980687579687904,0.44796681578201586,6.25e-08,6.25e-06
44,1.9675047958598417,0.4341505258968914,3.125e-08,3.125e-06
45,1.9698692735503702,0.4308931750627687,3.125e-08,3.125e-06
