epoch,loss,ap,lr_backbone,lr_head
1,24.164618716520422,0.0921457901307051,0.001,0.001
2,7.722382952185238,0.09220051836428372,0.001,0.001
3,5.917222822413725,0.09238635834307024,0.001,0.001
4,4.963793067371144,0.09294956848597948,0.001,0.001
5,4.4116164025138405,0.09300864689549874,0.001,0.001
6,3.9179795068853043,0.09321000593460926,0.001,0.001
7,2.626662899466122,0.0932861596790061,0.0005,0.0005
8,2.622335910797119,0.09337273177917339,0.0005,0.0005
9,2.5735037467058968,0.09422918105426058,0.0005,0.0005
10,2.559988589847789,0.15555660402117558,0.0005,0.0005
11,2.4961993483936085,0.20081123864005293,0.0005,0.0005
12,2.509006177677828,0.21277448445272668,0.00025,0.00025
13,2.4663408083074234,0.21402433567558532,0.00025,0.00025
14,2.4636781846775726,0.21260791884127198,0.00025,0.00025
15,2.4568869716980877,0.21431355992398496,0.00025,0.00025
16,2.410662433680366,0.28746700968440975,1e-06,0.0001
17,2.346976059324601,0.3596493497163947,1e-06,0.0001
18,2.2913406912018273,0.3569861478336669,1e-06,0.0001
19,2.2432533853194294,0.3483857550999335,1e-06,0.0001
20,2.194640983553494,0.36321852395761456,1e-06,0.0001
21,2.1426125554477466,0.3708203574592922,1e-06,0.0001
22,2.152509496492498,0.43049408510214565,1e-06,0.0001
23,2.0930892790065094,0.4282533320672965,1e-06,0.0001
24,2.064859018606298,0.4259436462595545,1e-06,0.0001
25,2.0492088689523587,0.42730042171353494,1e-06,0.0001
26,2.0261770171277664,0.4268231463016004,1e-06,0.0001
27,2.0216266302501453,0.4238912545129422,5e-07,5e-05
28,2.0212832654223725,0.4328787606260063,5e-07,5e-05
29,2.0293571142589344,0.43080985678513956,5e-07,5e-05
30,2.0054795216111576,0.42902226714118546,5e-07,5e-05
31,1.979039795258466,0.44926577952243324,5e-07,5e-05
32,1.9687955098993637,0.42988257189949836,5e-07,5e-05
33,1.983399089644937,0.43404205131127616,5e-07,5e-05
34,1.968185025102952,0.43469884204914283,5e-07,5e-05
35,1.9510001189568464,0.4333572939460107,5e-07,5e-05
36,1.9584190564997055,0.4285889015714131,2.5e-07,2.5e-05
37,1.9580730340060066,0.4351514760251462,2.5e-07,2.5e-05
38,1.9598964873482199,0.4454134393779384,2.5e-07,2.5e-05
39,1.9526791397263021,0.42695721442015044,2.5e-07,2.5e-05
40,1.960374488550074,0.4419463825020498,1.25e-07,1.25e-05
41,1.94081169016221,0.42975198726867797,1.25e-07,1.25e-05
42,1.9337750708355623,0.44754840466230694,1.25e-07,1.25e-05
43,1.950426575015573,0.4334957855848978,1.25e-07,1.25e-05
44,1.968445697251488,0.42878296958229467,6.25e-08,6.25e-06
45,1.942237997756285,0.4458618687603615,6.25e-08,6.25e-06
