epoch,loss,ap,lr_backbone,lr_head
1,24.180142991683063,0.09210294244819037,0.001,0.001
2,7.74915849461275,0.09222767281927823,0.001,0.001
3,5.893423627404606,0.09297032352055594,0.001,0.001
4,4.944573710946476,0.09232930204504637,0.001,0.001
5,4.385772144093233,0.09318074579106018,0.001,0.001
6,3.921861164710101,0.09308979347607989,0.001,0.001
7,2.6158542773302864,0.09313043081762994,0.0005,0.0005
8,2.62669995953055,0.09332938431436838,0.0005,0.0005
9,2.6099632066838883,0.09414196823110794,0.0005,0.0005
10,2.5710549214307,0.15748048439196946,0.0005,0.0005
11,2.492317935999702,0.20423983649551775,0.0005,0.0005
12,2.5283319108626423,0.21151537396951714,0.00025,0.00025
13,2.4778931807069218,0.21292163709530057,0.00025,0.00025
14,2.4731551899629483,0.21384890096214756,0.00025,0.00025
15,2.4562683806699863,0.2114209253205403,0.00025,0.00025
16,2.4434646999134735,0.2858769623207919,1e-06,0.0001
17,2.3894834027570835,0.29331284009418057,1e-06,0.0001
18,2.3142397438778595,0.36099116284398214,1e-06,0.0001
19,2.2535221646813786,0.35961485994190956,1e-06,0.0001
20,2.204019539496478,0.43495855396024935,1e-06,0.0001
21,2.1903542525628033,0.4300837932136632,1e-06,0.0001
22,2.1091421877636627,0.42815821588493447,1e-06,0.0001
23,2.0912380989860084,0.43516094869672256,1e-06,0.0001
24,2.080732871504391,0.4236170841588162,1e-06,0.0001
25,2.0446747366119835,0.4250917444441333,1e-06,0.0001
26,2.0367276808794808,0.42342174767815893,1e-06,0.0001
27,1.980770717648899,0.42654624073000297,1e-06,0.0001
28,2.014825463294983,0.4329306807535936,5e-07,5e-05
29,1.9687000478015226,0.4504561098712839,5e-07,5e-05
30,1.995470008429359,0.4421439647068201,5e-07,5e-05
31,1.989963741863475,0.44964092367943675,5e-07,5e-05
32,1.942915884887471,0.4492849460176712,5e-07,5e-05
33,1.9650146610596602,0.4314331288322783,5e-07,5e-05
34,1.9594988121705896,0.43408762662375255,2.5e-07,2.5e-05
35,1.939049457802492,0.43534863047046185,2.5e-07,2.5e-05
36,1.953207552433014,0.4440853443810291,2.5e-07,2.5e-05
37,1.9430492800824783,0.44411568362321013,2.5e-07,2.5e-05
38,1.942096135195564,0.4277165852221873,1.25e-07,1.25e-05
39,1.9372949459973503,0.448027791003531,1.25e-07,1.25e-05
40,1.9395627484602087,0.4456753005260267,1.25e-07,1.25e-05
41,1.9179235872100382,0.433419209839705,1.25e-07,1.25e-05
42,1.9291453642003678,0.44439166832676597,6.25e-08,6.25e-06
43,1.9256712724180782,0.44193712871687707,6.25e-08,6.25e-06
44,1.9362388638889088,0.45323580371080574,6.25e-08,6.25e-06
45,1.9441875534899093,0.449411239137482,6.25e-08,6.25e-06
