epoch,loss,ap,lr_backbone,lr_head
1,20.62193068336038,0.09254742598091967,0.001,0.001
2,7.462139396106496,0.09284420280733872,0.001,0.001
3,5.6931862129884605,0.09308018280673655,0.001,0.001
4,4.782633437829859,0.0932275853438796,0.001,0.001
5,4.174646419637344,0.09409891394987079,0.001,0.001
6,3.7501845640294693,0.09437611573753948,0.001,0.001
7,2.500552738414091,0.1670005874029912,0.0005,0.0005
8,2.473058483179878,0.2118866463786275,0.0005,0.0005
9,2.464522866641774,0.21091297579400275,0.0005,0.0005
10,2.447845627279843,0.20813570411213497,0.0005,0.0005
11,2.432099461555481,0.24985481706495413,0.0005,0.0005
12,2.4030368328094482,0.27922686096588767,0.00025,0.00025
13,2.38133503408993,0.27534648731148487,0.00025,0.00025
14,2.3672404955415165,0.32550380496536796,0.00025,0.00025
15,2.34421145214754,0.3612366203678673,0.00025,0.00025
1,2.324361198088702,0.40980196413476266,1e-06,0.0001
2,2.2896429650923786,0.44084671964100736,1e-06,0.0001
3,2.2764518085648033,0.43320494635731654,1e-06,0.0001
4,2.2275646083495197,0.43640336268656943,1e-06,0.0001
5,2.248048154746785,0.4680735836498041,1e-06,0.0001
6,2.2030367114964653,0.476771643936952,1e-06,0.0001
7,2.1770829172695385,0.49184688743178634,1e-06,0.0001
8,2.176519506117877,0.5261125581238786,1e-06,0.0001
9,2.1537815437597385,0.5125833088220957,1e-06,0.0001
10,2.1365549704607796,0.5128930715079432,1e-06,0.0001
11,2.113860217963948,0.509636710922964,1e-06,0.0001
12,2.1168704558821285,0.5181955555929826,1e-06,0.0001
13,2.0900009379667392,0.5140490325759249,5e-07,5e-05
14,2.0970493590130523,0.5129008191128929,5e-07,5e-05
15,2.1130381296662724,0.5145342276315146,5e-07,5e-05
16,2.10950447881923,0.5174721632210851,5e-07,5e-05
17,2.0962767741259407,0.5160349615983093,2.5e-07,2.5e-05
18,2.0963626083205726,0.5159069115871519,2.5e-07,2.5e-05
19,2.1077061225386227,0.5161408724384903,2.5e-07,2.5e-05
20,2.0868883238119236,0.5170766684574338,2.5e-07,2.5e-05
21,2.0841891800656036,0.5108568803756248,1.25e-07,1.25e-05
22,2.1125225389704987,0.5095700478874841,1.25e-07,1.25e-05
23,2.102520301061518,0.5154485292269201,1.25e-07,1.25e-05
24,2.0866037186454323,0.5133260368836007,1.25e-07,1.25e-05
25,2.0904858357766094,0.5167536592689305,6.25e-08,6.25e-06
26,2.1079763594795677,0.5175469323131288,6.25e-08,6.25e-06
27,2.0887414146872127,0.5163074374391864,6.25e-08,6.25e-06
28,2.12292584250955,0.5164342981359193,6.25e-08,6.25e-06
29,2.071806655210607,0.5167589802023069,3.125e-08,3.125e-06
30,2.1013255925739514,0.5169671229295829,3.125e-08,3.125e-06
