epoch,loss,ap,lr_backbone,lr_head
1,20.62193068336038,0.09254742598091967,0.001,0.001
2,7.462139396106496,0.09284420280733872,0.001,0.001
3,5.6931862129884605,0.09308018280673655,0.001,0.001
4,4.782633437829859,0.0932275853438796,0.001,0.001
5,4.174646419637344,0.09409891394987079,0.001,0.001
6,3.7501845640294693,0.09437611573753948,0.001,0.001
7,2.500552738414091,0.1670005874029912,0.0005,0.0005
8,2.473058483179878,0.2118866463786275,0.0005,0.0005
9,2.464522866641774,0.21091297579400275,0.0005,0.0005
10,2.447845627279843,0.20813570411213497,0.0005,0.0005
11,2.432099461555481,0.24985481706495413,0.0005,0.0005
12,2.4030368328094482,0.27922686096588767,0.00025,0.00025
13,2.38133503408993,0.27534648731148487,0.00025,0.00025
14,2.3672404955415165,0.32550380496536796,0.00025,0.00025
15,2.34421145214754,0.3612366203678673,0.00025,0.00025
1,2.3146799627472374,0.43731134454404935,1e-06,0.0001
2,2.254474499646355,0.4332900548246694,1e-06,0.0001
3,2.2226146564764133,0.48930941780596604,1e-06,0.0001
4,2.1510472157422234,0.521160354521194,1e-06,0.0001
5,2.1196161789052628,0.5209378254143946,1e-06,0.0001
6,2.0976558502982643,0.5191921834081507,1e-06,0.0001
7,2.0697262357263004,0.5263141117801546,1e-06,0.0001
8,2.046053072985481,0.5158157790694079,1e-06,0.0001
9,2.0377625507466934,0.5328035359715675,1e-06,0.0001
10,2.0070760320214664,0.5381486792098974,1e-06,0.0001
11,1.9918477254755356,0.5415822815189902,1e-06,0.0001
12,1.9654215013279634,0.5406780182387485,1e-06,0.0001
13,1.9490590481197132,0.5435957201160718,1e-06,0.0001
14,1.9354690874324125,0.5497207101391404,1e-06,0.0001
15,1.9290760054307825,0.5481965212684243,1e-06,0.0001
16,1.912395782330457,0.5763074739010846,1e-06,0.0001
17,1.9072800103355856,0.572606143268212,1e-06,0.0001
18,1.898314703913296,0.5633850842222401,1e-06,0.0001
19,1.868200554567225,0.5790549214599827,1e-06,0.0001
20,1.859600610592786,0.570399100258351,1e-06,0.0001
21,1.8480376531096065,0.5692359157691845,1e-06,0.0001
22,1.8361600462128134,0.5695095637054691,1e-06,0.0001
23,1.8364846776513493,0.617173062869207,1e-06,0.0001
24,1.8560372626080233,0.5653910096834565,1e-06,0.0001
25,1.8243229354129118,0.5663842739671064,1e-06,0.0001
26,1.7969704340485966,0.5754029039943275,1e-06,0.0001
27,1.7725222461363848,0.6137999540113387,1e-06,0.0001
28,1.8007372933275558,0.612067817476641,5e-07,5e-05
29,1.7857130555545582,0.6121412095628673,5e-07,5e-05
30,1.7639622057185453,0.6203985452737211,5e-07,5e-05
