epoch,loss,ap,lr_backbone,lr_head
1,20.62193068336038,0.09254742598091967,0.001,0.001
2,7.462139396106496,0.09284420280733872,0.001,0.001
3,5.6931862129884605,0.09308018280673655,0.001,0.001
4,4.782633437829859,0.0932275853438796,0.001,0.001
5,4.174646419637344,0.09409891394987079,0.001,0.001
6,3.7501845640294693,0.09437611573753948,0.001,0.001
7,2.500552738414091,0.1670005874029912,0.0005,0.0005
8,2.473058483179878,0.2118866463786275,0.0005,0.0005
9,2.464522866641774,0.21091297579400275,0.0005,0.0005
10,2.447845627279843,0.20813570411213497,0.0005,0.0005
11,2.432099461555481,0.24985481706495413,0.0005,0.0005
12,2.4030368328094482,0.27922686096588767,0.00025,0.00025
13,2.38133503408993,0.27534648731148487,0.00025,0.00025
14,2.3672404955415165,0.32550380496536796,0.00025,0.00025
15,2.34421145214754,0.3612366203678673,0.00025,0.00025
1,2.3224728142513946,0.42155462625678464,1e-06,0.0001
2,2.260032425908481,0.43910437837804533,1e-06,0.0001
3,2.228990035898545,0.4376351848037411,1e-06,0.0001
4,2.1547762120471283,0.5073492873376143,1e-06,0.0001
5,2.1140765407506157,0.5177434813579185,1e-06,0.0001
6,2.101602010867175,0.5103331462573156,1e-06,0.0001
7,2.0736163784475887,0.5213654321803808,1e-06,0.0001
8,2.040667596985312,0.5207127491885402,1e-06,0.0001
9,2.0276631186990177,0.5376900361588937,1e-06,0.0001
10,2.003901888342465,0.5392559905545053,1e-06,0.0001
11,1.9845283697633183,0.5389970263490074,1e-06,0.0001
12,1.9732989809092354,0.540753330023227,1e-06,0.0001
13,1.9720504985136145,0.5443453067478997,1e-06,0.0001
14,1.9677705273908728,0.5439601649152016,1e-06,0.0001
15,1.937972836634692,0.5522700436100095,1e-06,0.0001
16,1.9300479994100683,0.5461297154042041,1e-06,0.0001
17,1.9065442786497229,0.5532515464420715,1e-06,0.0001
18,1.910953079952913,0.5497928088940061,1e-06,0.0001
19,1.9120528592782862,0.5511877838748561,1e-06,0.0001
20,1.9086933732032776,0.5467775531091991,1e-06,0.0001
21,1.9118510660003214,0.57168439827505,1e-06,0.0001
22,1.8730059195967281,0.5636527971198396,1e-06,0.0001
23,1.8607447638231165,0.5656166453947692,1e-06,0.0001
24,1.8519091395770801,0.5734393752417234,1e-06,0.0001
25,1.8614421767347,0.6109643725960865,1e-06,0.0001
26,1.8405927349539364,0.6088468578767,1e-06,0.0001
27,1.8290896591018229,0.6147781765049086,1e-06,0.0001
28,1.8089319958406336,0.5776691563397602,1e-06,0.0001
29,1.8234451588462381,0.6112177011770719,1e-06,0.0001
30,1.7942325227400835,0.6112886072772648,1e-06,0.0001
